type,ga_weeks,ga_days,L,M,S,p3,p10,p50,p90,p97,-2SD,-1.5SD,±0SD,+1.5SD,+2SD
weight_male_parous,28,6,0.790,1270.052,0.145,934,1039,1270,1510,1626,914,1000,1270,1552,1649
weight_male_parous,29,0,0.793,1284.827,0.145,945,1051,1285,1528,1644,925,1012,1285,1570,1668
weight_male_parous,29,1,0.795,1299.706,0.145,956,1063,1300,1545,1663,935,1024,1300,1588,1687
weight_male_parous,29,2,0.799,1329.779,0.145,979,1088,1330,1581,1701,957,1048,1330,1624,1725
weight_male_parous,29,3,0.802,1344.975,0.144,990,1101,1345,1598,1720,968,1060,1345,1642,1744
weight_male_parous,29,4,0.806,1375.688,0.144,1013,1126,1376,1634,1758,991,1085,1376,1679,1783
weight_male_parous,29,5,0.809,1391.206,0.144,1025,1139,1391,1652,1777,1002,1097,1391,1698,1803
weight_male_parous,29,6,0.814,1422.562,0.144,1048,1165,1423,1689,1817,1025,1122,1423,1735,1842
weight_male_parous,30,0,0.816,1438.400,0.144,1060,1178,1438,1708,1836,1037,1135,1438,1754,1862
weight_male_parous,30,1,0.819,1454.343,0.144,1072,1191,1454,1726,1856,1048,1147,1454,1773,1882
weight_male_parous,30,2,0.824,1486.537,0.143,1096,1218,1487,1764,1896,1072,1173,1487,1812,1923
weight_male_parous,30,3,0.827,1502.783,0.143,1108,1231,1503,1783,1917,1084,1186,1503,1831,1943
weight_male_parous,30,4,0.833,1535.558,0.143,1133,1259,1536,1821,1957,1108,1212,1536,1870,1985
weight_male_parous,30,5,0.836,1552.081,0.143,1145,1272,1552,1840,1978,1120,1226,1552,1890,2005
weight_male_parous,30,6,0.842,1585.385,0.143,1170,1300,1585,1879,2019,1144,1252,1585,1930,2047
weight_male_parous,31,0,0.845,1602.161,0.142,1183,1314,1602,1899,2040,1157,1266,1602,1950,2068
weight_male_parous,31,1,0.849,1619.016,0.142,1195,1328,1619,1918,2060,1169,1279,1619,1970,2089
weight_male_parous,31,2,0.855,1652.957,0.142,1221,1356,1653,1957,2102,1194,1307,1653,2010,2131
weight_male_parous,31,3,0.859,1670.039,0.142,1234,1371,1670,1977,2123,1207,1320,1670,2030,2153
weight_male_parous,31,4,0.866,1704.417,0.141,1260,1399,1704,2017,2166,1232,1348,1704,2071,2195
weight_male_parous,31,5,0.870,1721.712,0.141,1273,1414,1722,2037,2187,1245,1362,1722,2091,2217
weight_male_parous,31,6,0.877,1756.510,0.141,1299,1443,1757,2077,2229,1271,1390,1757,2133,2260
weight_male_parous,32,0,0.881,1774.012,0.141,1312,1457,1774,2097,2251,1283,1404,1774,2153,2281
weight_male_parous,32,1,0.885,1791.581,0.141,1325,1472,1792,2118,2272,1297,1419,1792,2174,2303
weight_male_parous,32,2,0.893,1826.911,0.140,1352,1502,1827,2158,2315,1323,1447,1827,2215,2347
weight_male_parous,32,3,0.897,1844.667,0.140,1366,1517,1845,2179,2337,1336,1462,1845,2236,2368
weight_male_parous,32,4,0.905,1880.350,0.140,1393,1547,1880,2220,2380,1363,1491,1880,2278,2412
weight_male_parous,32,5,0.909,1898.274,0.139,1407,1562,1898,2240,2402,1376,1505,1898,2299,2434
weight_male_parous,32,6,0.917,1934.284,0.139,1434,1592,1934,2281,2445,1403,1535,1934,2341,2478
weight_male_parous,33,0,0.922,1952.369,0.139,1448,1608,1952,2302,2467,1417,1549,1952,2362,2500
weight_male_parous,33,1,0.926,1970.510,0.139,1462,1623,1971,2323,2489,1430,1564,1971,2383,2522
weight_male_parous,33,2,0.934,2006.964,0.138,1490,1654,2007,2364,2532,1458,1594,2007,2425,2566
weight_male_parous,33,3,0.938,2025.282,0.138,1505,1670,2025,2385,2554,1472,1609,2025,2447,2588
weight_male_parous,33,4,0.946,2062.107,0.137,1533,1701,2062,2427,2598,1500,1640,2062,2489,2633
weight_male_parous,33,5,0.950,2080.618,0.137,1548,1717,2081,2448,2620,1514,1655,2081,2511,2655
weight_male_parous,33,6,0.957,2117.848,0.137,1577,1749,2118,2490,2665,1543,1686,2118,2554,2699
weight_male_parous,34,0,0.960,2136.572,0.136,1592,1765,2137,2511,2687,1558,1702,2137,2575,2722
weight_male_parous,34,1,0.964,2155.370,0.136,1607,1781,2155,2532,2709,1572,1717,2155,2597,2744
weight_male_parous,34,2,0.970,2193.204,0.135,1637,1814,2193,2575,2754,1602,1749,2193,2640,2789
weight_male_parous,34,3,0.972,2212.244,0.135,1652,1830,2212,2596,2776,1617,1765,2212,2662,2812
weight_male_parous,34,4,0.977,2250.584,0.134,1683,1864,2251,2639,2821,1647,1798,2251,2706,2858
weight_male_parous,34,5,0.978,2269.889,0.134,1699,1880,2270,2661,2844,1663,1814,2270,2728,2880
weight_male_parous,34,6,0.981,2308.773,0.133,1731,1915,2309,2704,2890,1694,1848,2309,2772,2926
weight_male_parous,35,0,0.982,2328.351,0.133,1747,1932,2328,2726,2912,1710,1864,2328,2794,2950
weight_male_parous,35,1,0.982,2348.017,0.133,1763,1949,2348,2748,2935,1726,1881,2348,2816,2973
weight_male_parous,35,2,0.981,2387.597,0.132,1796,1984,2388,2792,2981,1759,1916,2388,2861,3019
weight_male_parous,35,3,0.980,2407.503,0.132,1813,2002,2408,2814,3005,1776,1933,2408,2884,3043
weight_male_parous,35,4,0.977,2447.514,0.131,1847,2038,2448,2858,3051,1810,1969,2448,2929,3089
weight_male_parous,35,5,0.975,2467.607,0.130,1865,2056,2468,2881,3074,1827,1986,2468,2951,3113
weight_male_parous,35,6,0.968,2507.931,0.129,1900,2093,2508,2925,3121,1862,2023,2508,2996,3160
weight_male_parous,36,0,0.964,2528.145,0.129,1918,2111,2528,2947,3144,1879,2041,2528,3019,3183
weight_male_parous,36,1,0.960,2548.381,0.129,1935,2130,2548,2970,3167,1897,2059,2548,3042,3207
weight_male_parous,36,2,0.949,2588.876,0.128,1972,2167,2589,3014,3214,1933,2096,2589,3087,3253
weight_male_parous,36,3,0.943,2609.115,0.127,1990,2186,2609,3036,3237,1951,2115,2609,3109,3277
weight_male_parous,36,4,0.930,2649.520,0.126,2027,2224,2650,3080,3283,1988,2152,2650,3154,3323
weight_male_parous,36,5,0.922,2669.657,0.126,2045,2243,2670,3102,3306,2006,2171,2670,3176,3346
weight_male_parous,36,6,0.906,2709.721,0.125,2083,2281,2710,3145,3351,2043,2208,2710,3220,3392
weight_male_parous,37,0,0.897,2729.612,0.124,2101,2300,2730,3167,3373,2062,2227,2730,3242,3415
weight_male_parous,37,1,0.887,2749.383,0.123,2120,2318,2749,3188,3396,2081,2246,2749,3264,3437
weight_male_parous,37,2,0.867,2788.491,0.122,2157,2356,2788,3230,3439,2118,2283,2788,3306,3481
weight_male_parous,37,3,0.857,2807.790,0.122,2176,2375,2808,3251,3461,2137,2302,2808,3327,3503
weight_male_parous,37,4,0.836,2845.809,0.121,2213,2412,2846,3291,3503,2173,2339,2846,3368,3546
weight_male_parous,37,5,0.825,2864.505,0.120,2231,2430,2865,3311,3524,2192,2357,2865,3388,3566
weight_male_parous,37,6,0.803,2901.218,0.119,2267,2466,2901,3350,3564,2228,2393,2901,3428,3607
weight_male_parous,38,0,0.792,2919.219,0.118,2285,2483,2919,3369,3584,2246,2411,2919,3447,3627
weight_male_parous,38,1,0.780,2936.973,0.118,2303,2501,2937,3388,3603,2263,2428,2937,3466,3646
weight_male_parous,38,2,0.758,2971.713,0.117,2337,2535,2972,3424,3641,2298,2463,2972,3503,3684
